alignment_improvement,alignment_p_value,frobenius,graph_id,hub_overlap,hub_overlap_null_mean,hub_overlap_p_value,l1,model,random_l1_mean,alignment_improvement_pct,hub_enrichment,error_ratio,alignment_p_fdr,hub_p_fdr,alignment_significant_fdr,hub_significant_fdr
0.0069418973665666,0.1708291708291708,2.3595309257507324,0,0.3,0.1121,0.0879120879120879,0.0212052855640649,MLP,0.0213535195048898,0.69418973665666,0.18789999999999998,0.9930581026331066,0.6694065428242644,0.5030758714969241,False,False
0.0018686776297249,0.3856143856143856,2.3600189685821533,1,0.3,0.1098,0.0789210789210789,0.0212030261754989,MLP,0.0212427219748497,0.18686776297249,0.19019999999999998,0.9981313223701841,0.6694065428242644,0.5030758714969241,False,False
-0.0020163223466636,0.6093906093906094,2.3810367584228516,2,0.1,0.1099,0.7212787212787213,0.0213074032217264,MLP,0.0212645270805805,-0.20163223466636,-0.009899999999999992,1.002016322346762,0.7076479076479077,0.8267001815388911,False,False
-0.0048546226154097,0.7432567432567433,2.366236925125122,3,0.1,0.1138,0.7162837162837162,0.0212152656167745,MLP,0.0211127710808068,-0.48546226154097,-0.013799999999999993,1.0048546226156392,0.76837675247218,0.8267001815388911,False,False
-0.0001063483018177,0.5164835164835165,2.3698477745056152,4,0.1,0.1111,0.7352647352647352,0.0212426725775003,MLP,0.0212404136955738,-0.01063483018177,-0.011099999999999999,1.000106348301821,0.6748025843503231,0.8267001815388911,False,False
0.0063234532242994,0.2007992007992008,2.362048625946045,5,0.1,0.1135,0.7292707292707292,0.0209551695734262,MLP,0.0210885218549519,0.63234532242994,-0.013499999999999998,0.9936765467754021,0.6694065428242644,0.8267001815388911,False,False
0.0042406881385584,0.2767232767232767,2.366966724395752,6,0.1,0.1112,0.7212787212787213,0.0212285034358501,MLP,0.0213189102858304,0.42406881385584005,-0.011199999999999988,0.995759311861245,0.6694065428242644,0.8267001815388911,False,False
0.0003850880322733,0.4865134865134865,2.3737881183624268,7,0.2,0.1109,0.3116883116883117,0.02131655998528,MLP,0.0213247718997299,0.038508803227329996,0.08910000000000001,0.9996149119677099,0.6694065428242644,0.6193095161066691,False,False
0.0014583101974943,0.4185814185814185,2.3713128566741943,8,0.1,0.1071,0.7002997002997003,0.0214021354913711,MLP,0.0214333920255303,0.14583101974943,-0.007099999999999995,0.9985416898024368,0.6694065428242644,0.8267001815388911,False,False
0.0088635530876748,0.1098901098901098,2.35213041305542,9,0.1,0.1094,0.7072927072927073,0.0211434308439493,MLP,0.0213325127027928,0.8863553087674799,-0.009399999999999992,0.9911364469119127,0.6694065428242644,0.8267001815388911,False,False
