epochs,model_kind,training_time_seconds,validation_accuracy,validation_forward_time,validation_frobenius,validation_hungarian_time,validation_l1,validation_total_time
0,mlp,0.0,0.01162393196987418,0.006191264763877441,1.0943741141221461,0.0012851871874702808,0.01372353711571449,0.007476451951347721
1,mlp,92.64163045900932,0.011168091474339748,0.004529372230619909,1.094137335740603,0.00139694131212309,0.013725602099051078,0.005926313542742999
3,mlp,224.12483658299607,0.011566951897186347,0.004232532043645803,1.0921718070140252,0.0011371818487532436,0.013693330544405259,0.005369713892399047
5,mlp,334.51118658299674,0.012222222585040025,0.0042402104766388685,1.0939696597747313,0.0011476724414163843,0.013719811118566072,0.005387882918055253
10,mlp,690.2600727499957,0.011595441933530263,0.0042754815131700475,1.0916844976253999,0.0010399361157443566,0.01368174045943679,0.005315417628914404
20,mlp,1400.688994541997,0.011339031673299197,0.00424089711293793,1.0932397743066151,0.0010301633692086818,0.01370156374401771,0.005271060482146613
0,gin,0.0,0.670256414102056,0.013851091435786564,0.5872468481270167,0.0010751574559179015,0.0053502801729616925,0.014926248891704465
1,gin,70.42559670799528,0.010142450450131527,0.014407509430953397,1.0942667918327527,0.001151410690008794,0.01372185642234026,0.01555892012096219
3,gin,217.59119987499435,0.7939316278848892,0.013864210158890973,0.43007070273160936,0.0011276184921884217,0.003120806638169317,0.014991828651079394
5,gin,347.8058409160003,0.5507122586170833,0.013786507474679428,0.585888077509709,0.001168706007928659,0.005778048128391115,0.014955213482608087
10,gin,920.2610947499925,0.010142450450131527,0.01472404059496535,1.0942667918327527,0.0012636297311893522,0.01372185642234026,0.015987670326154703
20,gin,1573.5758290830126,1.0,0.014870986102286201,0.0,0.0012320283873123116,0.0,0.016103014489598513
0,gat,0.0,1.0,0.06671154313390174,0.0,0.0016482705024268049,0.0,0.06835981363632854
1,gat,510.6274506250047,1.0,0.06356812127968833,0.0,0.001705715266125014,0.0,0.06527383654581335
3,gat,1648.8518561669916,1.0,0.06662243751529903,0.0,0.0016958174946455236,0.0,0.06831825500994455
5,gat,2737.309658416998,1.0,0.0634242801310999,0.0,0.0017329555540270985,0.0,0.065157235685127
10,gat,5280.084277792004,1.0,0.06743640906094628,0.0,0.0015625075719958076,0.0,0.06899891663294208
20,gat,10752.704561417006,1.0,0.06736160566416892,0.0,0.002250839633276113,0.0,0.06961244529744502
